date,item_id,store_id,sales,sell_price
2026-01-05,ITEM_1032,STORE_01,232,11.81
2026-01-08,ITEM_1032,STORE_01,249,11.12
2025-12-18,ITEM_1032,STORE_01,200,12.36
2025-12-22,ITEM_1032,STORE_01,206,11.79
2026-02-20,ITEM_1032,STORE_01,242,10.98
2026-02-25,ITEM_1032,STORE_01,278,10.66
2026-01-07,ITEM_1032,STORE_01,219,11.91
2026-01-13,ITEM_1032,STORE_01,225,10.67
2026-03-08,ITEM_1032,STORE_01,251,11.53
2026-02-22,ITEM_1032,STORE_01,281,11.82
2025-12-18,ITEM_1032,STORE_01,184,12.8
2026-02-08,ITEM_1032,STORE_01,284,12.44
2026-01-03,ITEM_1032,STORE_01,253,11.47
2026-01-25,ITEM_1032,STORE_01,240,11.98
2026-01-12,ITEM_1032,STORE_01,212,10.86
2026-01-27,ITEM_1032,STORE_01,240,11.74
2025-12-17,ITEM_1032,STORE_01,176,11.77
2026-03-03,ITEM_1032,STORE_01,257,10.79
2026-01-05,ITEM_1032,STORE_01,256,10.62
2026-01-30,ITEM_1032,STORE_01,265,12.59
2026-03-04,ITEM_1032,STORE_01,270,11.25
2026-02-14,ITEM_1032,STORE_01,227,11.88
2026-03-12,ITEM_1032,STORE_01,231,11.27
2026-01-20,ITEM_1032,STORE_01,249,11.01
2026-03-10,ITEM_1032,STORE_01,218,11.34
2026-02-04,ITEM_1032,STORE_01,253,12.71
2026-02-12,ITEM_1032,STORE_01,203,10.97
2026-02-15,ITEM_1032,STORE_01,244,11.52
2026-03-06,ITEM_1032,STORE_01,266,12.59
2026-02-16,ITEM_1032,STORE_01,236,11.04
2026-01-31,ITEM_1032,STORE_01,226,12.07
2026-03-12,ITEM_1032,STORE_01,257,11.96
2026-03-12,ITEM_1032,STORE_01,228,11.81
2026-01-29,ITEM_1032,STORE_01,223,12.61
2025-12-16,ITEM_1032,STORE_01,244,11.28
2025-12-18,ITEM_1032,STORE_01,190,12.37
2025-12-15,ITEM_1032,STORE_01,221,12.68
2025-12-21,ITEM_1032,STORE_01,268,10.87
2026-03-07,ITEM_1032,STORE_01,301,12.41
2026-03-11,ITEM_1032,STORE_01,253,11.28
2026-01-19,ITEM_1032,STORE_01,190,12.86
2026-02-12,ITEM_1032,STORE_01,263,10.81
2026-03-12,ITEM_1032,STORE_01,281,12.7
2026-01-23,ITEM_1032,STORE_01,253,11.95
2026-02-01,ITEM_1032,STORE_01,293,12.14
2025-12-13,ITEM_1032,STORE_01,266,11.16
2026-02-18,ITEM_1032,STORE_01,269,12.2
2025-12-26,ITEM_1032,STORE_01,189,10.82
2026-02-21,ITEM_1032,STORE_01,239,12.46
2026-02-22,ITEM_1032,STORE_01,234,11.83
2026-02-24,ITEM_1032,STORE_01,284,12.28
2026-02-20,ITEM_1032,STORE_01,219,11.08
2026-01-30,ITEM_1032,STORE_01,201,12.24
2026-01-01,ITEM_1032,STORE_01,242,12.13
2026-03-06,ITEM_1032,STORE_01,232,10.95
2026-03-09,ITEM_1032,STORE_01,228,12.45
2026-01-13,ITEM_1032,STORE_01,258,11.06
2025-12-27,ITEM_1032,STORE_01,276,11.76
2026-01-09,ITEM_1032,STORE_01,249,11.28
2026-03-12,ITEM_1032,STORE_01,249,11.24
2026-01-10,ITEM_1032,STORE_01,228,12.95
2026-01-26,ITEM_1032,STORE_01,272,10.94
2025-12-23,ITEM_1032,STORE_01,214,10.51
2026-01-29,ITEM_1032,STORE_01,240,11.75
2026-03-05,ITEM_1032,STORE_01,278,11.35
2026-02-15,ITEM_1032,STORE_01,272,11.34
2026-02-03,ITEM_1032,STORE_01,198,12.08
2026-01-20,ITEM_1032,STORE_01,215,11.83
2025-12-21,ITEM_1032,STORE_01,243,12.43
2026-01-29,ITEM_1032,STORE_01,268,11.39
2026-02-17,ITEM_1032,STORE_01,236,11.28
2026-03-06,ITEM_1032,STORE_01,259,11.43
2026-02-09,ITEM_1032,STORE_01,255,12.18
2026-01-03,ITEM_1032,STORE_01,227,11.31
2026-02-28,ITEM_1032,STORE_01,298,10.81
2026-02-09,ITEM_1032,STORE_01,263,11.59
2025-12-30,ITEM_1032,STORE_01,194,11.75
2025-12-24,ITEM_1032,STORE_01,182,11.09
2026-03-01,ITEM_1032,STORE_01,238,12.32
2025-12-30,ITEM_1032,STORE_01,206,11.39
2025-12-16,ITEM_1032,STORE_01,227,11.43
2025-12-16,ITEM_1032,STORE_01,196,10.51
2025-12-26,ITEM_1032,STORE_01,218,12.24
2026-03-08,ITEM_1032,STORE_01,252,11.42
2025-12-27,ITEM_1032,STORE_01,214,10.86
2025-12-25,ITEM_1032,STORE_01,233,11.57
2025-12-13,ITEM_1032,STORE_01,212,12.67
2026-01-21,ITEM_1032,STORE_01,224,12.1
